project_id,project_name,issue_count,fields.creator.key_<lambda>,fields.reporter.key_<lambda>,total_links,avg_links_per_issue,fields.components_<lambda>,total_components,avg_components_per_issue,total_labels,avg_labels_per_issue,project_start_date,project_latest_date,avg_resolution_hours,median_resolution_hours,min_resolution_hours,max_resolution_hours,resolution_hours_std,total_resolution_hours,fields.issuetype.name_<lambda>_RTC,fields.issuetype.name_<lambda>_Outage,fields.issuetype.name_<lambda>_Task,fields.issuetype.name_<lambda>_Sub-task,fields.issuetype.name_<lambda>_SVN->GIT Mirroring,fields.issuetype.name_<lambda>_Umbrella,fields.issuetype.name_<lambda>_Wish,fields.issuetype.name_<lambda>_Planned Work,fields.issuetype.name_<lambda>_New JIRA Project,fields.issuetype.name_<lambda>_New Git Repo,fields.issuetype.name_<lambda>_New Confluence Wiki,fields.issuetype.name_<lambda>_Documentation,fields.issuetype.name_<lambda>_Temp,fields.issuetype.name_<lambda>_New TLP,fields.issuetype.name_<lambda>_New TLP - Common Tasks,fields.issuetype.name_<lambda>_Project,fields.issuetype.name_<lambda>_Dependency,fields.issuetype.name_<lambda>_Question,fields.issuetype.name_<lambda>_Test,fields.issuetype.name_<lambda>_New Feature,fields.issuetype.name_<lambda>_Comment,fields.issuetype.name_<lambda>_Bug,fields.issuetype.name_<lambda>_Pending Review,fields.issuetype.name_<lambda>_Blogs - Access to Existing Blog,fields.issuetype.name_<lambda>_Dependency upgrade,fields.issuetype.name_<lambda>_Technical task,fields.issuetype.name_<lambda>_Improvement,fields.issuetype.name_<lambda>_GitBox Request,fields.issuetype.name_<lambda>_Blogs - New Blog User Account Request,fields.issuetype.name_<lambda>_Github Integration,fields.issuetype.name_<lambda>_New Bugzilla Project,fields.issuetype.name_<lambda>_Proposal,fields.issuetype.name_<lambda>_Requirement,fields.issuetype.name_<lambda>_Brainstorming,fields.issuetype.name_<lambda>_Epic,fields.issuetype.name_<lambda>_Blog - New Blog Request,fields.issuetype.name_<lambda>_IT Help,fields.issuetype.name_<lambda>_Story,fields.issuetype.name_<lambda>_Technical Debt,fields.issuetype.name_<lambda>_SVN->GIT Migration,fields.issuetype.name_<lambda>_Suitable Name Search,fields.issuetype.name_<lambda>_Request,fields.issuetype.name_<lambda>_TCK Challenge,fields.priority.name_<lambda>_Missing,fields.priority.name_<lambda>_Normal,fields.priority.name_<lambda>_P3,fields.priority.name_<lambda>_P0,fields.priority.name_<lambda>_P4,fields.priority.name_<lambda>_Low,fields.priority.name_<lambda>_P1,fields.priority.name_<lambda>_Critical,fields.priority.name_<lambda>_P2,fields.priority.name_<lambda>_Urgent,fields.priority.name_<lambda>_Major,fields.priority.name_<lambda>_Trivial,fields.priority.name_<lambda>_Blocker,fields.priority.name_<lambda>_Minor,fields.priority.name_<lambda>_High,fields.priority.name_<lambda>_Not a Priority,fields.status.name_<lambda>_Accepted,fields.status.name_<lambda>_In Progress,fields.status.name_<lambda>_Done,fields.status.name_<lambda>_Closed,fields.status.name_<lambda>_Open,fields.status.name_<lambda>_Patch Available,fields.status.name_<lambda>_Waiting for Infra,fields.status.name_<lambda>_Resolved,fields.status.name_<lambda>_To Do,fields.status.name_<lambda>_Reopened,created_month_<lambda>_1.0,created_month_<lambda>_2.0,created_month_<lambda>_3.0,created_month_<lambda>_4.0,created_month_<lambda>_5.0,created_month_<lambda>_6.0,created_month_<lambda>_7.0,created_month_<lambda>_8.0,created_month_<lambda>_9.0,created_month_<lambda>_10.0,created_month_<lambda>_11.0
10401.0,jUDDI,991,104,104,0.0,0.0,set(),0,0.0,0,0.0,2004-01-17 22:54:01,2021-06-09 22:21:53,2698.2933240834172,175.86,0.0075,58999.28166666667,7193.908157127656,2674008.6841666666,0,0,174,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,84,0,580,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,818,14,22,97,0,0,0,0,0,909,0,0,0,82,0,0,148,96,94,62,70,73,54,38,71,87,107
10410.0,Infrastructure,15663,2648,2663,0.0,0.0,set(),0,0.0,0,0.0,2003-09-04 02:42:25,2022-01-04 04:37:10,646.5179341441614,53.94027777777778,0.0019444444444444444,48310.953888888886,2373.2302841621827,10126410.4025,0,41,5562,518,36,0,798,380,120,189,68,35,0,37,12,657,0,0,0,302,0,4979,13,11,0,211,1058,168,13,326,1,0,0,0,25,27,0,0,0,76,0,0,0,15,0,0,0,0,0,0,497,0,0,12149,345,397,2260,0,0,0,0,0,15662,0,0,1,0,0,0,1361,1117,1375,1495,1430,1122,1250,1334,1256,1341,1300
10411.0,James Server,3238,441,440,0.0,0.0,set(),0,0.0,0,0.0,2001-06-03 11:06:50,2021-12-15 03:17:17,6063.311339990391,191.60597222222225,0.002777777777777778,144210.87055555556,16000.090575871409,19633002.11888889,0,0,276,228,0,0,29,0,0,0,0,0,0,0,0,0,0,0,34,430,0,1229,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,63,0,0,2458,121,62,409,0,0,0,0,0,2394,0,0,0,844,0,0,244,228,340,274,250,334,292,208,249,324,292
10460.0,Axis,1842,1022,1021,0.0,0.0,set(),0,0.0,0,0.0,2001-07-18 16:25:14,2020-09-01 18:31:12,8585.879126402462,7168.248888888889,0.004166666666666667,142699.03944444444,11378.20053031546,15815189.350833334,0,0,5,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,14,0,1752,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,63,0,0,486,8,73,88,0,0,0,0,0,366,0,0,0,1476,0,0,113,118,185,194,141,176,172,153,176,165,130
10461.0,Axis-C++,996,155,155,0.0,0.0,set(),0,0.0,0,0.0,2003-09-24 19:29:38,2013-03-24 19:55:52,4185.573426204819,745.79625,0.01861111111111111,64239.5,9323.109383432185,4168831.1325,0,0,24,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,29,34,0,741,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,55,0,0,702,24,25,146,0,0,0,0,0,955,0,0,0,41,0,0,84,115,133,78,46,63,71,82,66,107,78
10492.0,Jetspeed 2,1252,216,216,0.0,0.0,set(),0,0.0,0,0.0,2004-03-26 01:19:44,2021-03-10 01:56:44,3782.9129392971245,542.2558333333334,0.0038888888888888888,65462.88527777778,7488.187927159359,4736207.0,0,0,79,37,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,139,0,660,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,908,22,37,219,0,0,0,0,0,1123,0,0,0,129,0,0,102,69,117,126,164,101,103,88,91,110,92
10510.0,Xerces-C++,2063,1254,1255,0.0,0.0,set(),0,0.0,0,0.0,2001-02-22 15:17:34,2021-12-15 02:18:07,15149.583411698173,11919.426944444445,0.042777777777777776,132173.69555555555,18070.289946173318,31253590.578333333,0,0,17,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,12,0,1927,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,63,0,0,679,50,63,155,0,0,0,0,0,1626,0,0,0,437,0,0,119,185,199,154,176,195,198,184,165,175,154
10520.0,Xerces2-J,1460,839,840,0.0,0.0,set(),0,0.0,0,0.0,2001-02-09 08:44:45,2021-12-15 16:32:04,9591.847238203956,8494.123055555556,0.0038888888888888888,74222.55,10655.846544131844,14004096.967777777,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,47,0,1285,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,0,0,0,0,0,31,0,0,364,26,17,189,0,0,0,0,0,192,0,0,0,1268,0,0,117,164,184,132,114,99,118,98,95,104,148
10570.0,Beehive,1082,93,93,0.0,0.0,set(),0,0.0,0,0.0,2004-08-20 21:25:44,2008-09-02 02:36:02,798.4904764838776,91.80944444444444,0.02638888888888889,17092.331666666665,1863.1034163881084,863966.6955555555,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,19,0,857,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,670,38,15,314,0,0,0,0,0,969,0,0,0,113,0,0,93,157,122,110,182,79,26,43,55,68,82
10573.0,Tapestry,2325,594,594,0.0,0.0,set(),0,0.0,0,0.0,2003-03-12 11:15:58,2011-12-01 01:50:57,2755.52321911589,651.8863888888889,0.009444444444444445,25996.936944444446,4239.460217972833,6406591.484444444,0,0,44,80,0,0,37,0,0,0,0,0,0,0,0,0,0,0,2,160,0,1494,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,118,0,0,1337,98,55,517,0,0,0,0,0,1143,0,0,0,1182,0,0,145,183,230,168,198,197,299,259,171,157,169
10584.0,XalanJ2,697,362,361,0.0,0.0,set(),0,0.0,0,0.0,2001-07-31 15:34:01,2008-04-09 13:10:00,18064.325135501356,21411.617777777778,0.08694444444444445,87166.47305555556,10371.94448801466,12590834.619444445,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,667,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,15,0,0,124,10,9,27,0,0,0,0,0,100,0,0,0,597,0,0,44,74,66,58,64,52,45,51,22,75,100
10591.0,Jackrabbit Content Repository,4036,657,656,0.0,0.0,set(),0,0.0,0,0.0,2004-09-16 03:45:57,2022-01-03 07:43:37,2385.7247476874795,58.707499999999996,0.0030555555555555557,84110.79777777777,8099.259010357224,9628785.081666667,0,0,502,125,0,0,32,0,0,0,0,0,0,0,0,0,0,0,24,202,0,1897,0,0,0,0,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,1990,252,64,1626,0,0,0,0,0,4008,0,0,0,28,0,0,305,340,447,338,310,329,362,332,344,350,311
10594.0,Derby,5817,584,584,0.0,0.0,set(),0,0.0,0,0.0,2004-09-24 21:22:40,2021-08-21 14:57:21,5917.64170883235,794.3119444444444,0.009166666666666667,93352.56916666667,12376.52533244372,34422921.82027778,0,0,274,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3547,0,0,0,0,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,3329,348,54,1951,0,0,0,0,0,5762,0,0,0,55,0,0,413,580,580,543,499,587,526,455,393,481,408
10600.0,MyFaces Core,4037,953,954,0.0,0.0,set(),0,0.0,0,0.0,2004-11-05 17:31:27,2021-12-06 10:04:09,6677.864567404288,146.54,0.0022222222222222222,90951.24222222222,18306.16314598027,26958539.258611113,0,0,483,143,0,0,19,0,0,0,0,0,0,0,0,0,0,0,11,232,0,2427,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,2780,167,78,843,0,0,0,0,0,3811,0,0,0,226,0,0,262,275,350,438,282,264,338,394,444,348,390
10611.0,Axis2,5227,1763,1763,0.0,0.0,set(),0,0.0,0,0.0,2004-06-25 08:42:22,2021-12-23 11:34:02,4313.07107146653,372.1483333333333,0.007222222222222222,110502.32666666666,9791.11011495087,22544422.490555555,0,0,57,23,0,0,68,0,0,0,0,0,0,0,0,0,0,0,50,219,0,3987,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,487,0,0,3329,95,560,752,0,0,0,0,0,525,0,0,0,4702,0,0,361,397,474,453,453,420,461,485,451,547,442
10670.0,MINA,1082,396,396,0.0,0.0,set(),0,0.0,0,0.0,2005-02-01 10:06:23,2021-12-03 05:46:44,9884.327816029985,475.03625,0.002777777777777778,111428.5675,20829.3706714523,10694842.696944444,0,0,64,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,7,141,0,605,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,663,66,42,250,0,0,0,0,0,757,0,0,0,325,0,0,71,91,88,84,97,72,97,60,113,99,116
10680.0,Nutch,2623,554,555,0.0,0.0,set(),0,0.0,0,0.0,2005-02-11 04:23:58,2021-12-21 12:21:07,9356.391132608973,932.7619444444445,0.0016666666666666668,114704.12166666667,17044.24371878453,24541813.940833334,0,0,115,119,0,0,26,0,0,0,0,0,0,0,0,0,0,0,16,230,0,1201,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,1430,241,62,783,0,0,0,0,0,2048,0,0,0,575,0,0,221,215,231,216,212,226,243,218,237,231,187
12310000.0,Forrest (Retired),842,141,141,0.0,0.0,set(),0,0.0,0,0.0,2002-11-16 13:19:12,2018-07-25 06:56:15,4412.138453417789,399.21805555555557,0.03138888888888889,148436.96583333332,11918.42582466529,3715020.577777778,0,0,71,36,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,81,0,441,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,437,59,33,271,0,0,0,0,0,706,0,0,0,136,0,0,72,40,59,57,47,112,81,96,80,81,70
12310050.0,Harmony,5672,269,269,0.0,0.0,set(),0,0.0,0,0.0,2005-06-19 03:40:00,2011-07-18 13:57:26,1046.8555278365461,149.2576388888889,0.002777777777777778,33219.05333333334,2645.2244096373665,5937764.553888889,0,0,39,241,0,0,14,0,0,0,0,0,0,0,0,0,0,0,161,384,0,3605,0,0,0,0,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,3903,312,20,1330,0,0,0,0,0,4965,0,0,0,707,0,0,260,329,521,529,379,501,576,509,464,509,502
12310070.0,C++ Standard Library,711,35,35,0.0,0.0,set(),0,0.0,0,0.0,2005-07-27 01:20:26,2012-10-10 12:02:09,2986.3431946397877,675.0041666666667,0.0075,37894.70527777778,4793.901945442527,2123290.011388889,0,0,19,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,540,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,370,44,50,162,0,0,0,0,0,539,0,0,0,172,0,0,68,52,91,67,54,75,59,51,55,65,53
12310100.0,Felix,5624,870,869,0.0,0.0,set(),0,0.0,0,0.0,2005-07-24 01:33:39,2022-01-03 08:07:55,2872.0866206831834,85.80875,0.0030555555555555557,106407.49055555556,8673.85178001864,16152615.154722223,0,0,248,142,0,0,45,0,0,0,0,0,0,0,0,0,0,0,10,397,0,3200,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,4265,136,77,1019,0,0,0,0,0,4346,0,0,0,1278,0,0,461,509,505,472,427,441,456,453,555,558,411
12310104.0,Velocity,873,451,451,0.0,0.0,set(),0,0.0,0,0.0,2001-03-21 23:07:22,2021-08-06 13:29:21,18864.250542828053,12529.529444444444,0.12361111111111112,130659.61583333333,21168.30308815077,16468490.723888889,0,0,8,22,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,47,0,563,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,525,20,19,277,0,0,0,0,0,674,0,0,0,199,0,0,98,69,82,66,86,52,63,56,55,95,95
12310110.0,Lucene - Core,8442,1325,1323,0.0,0.0,set(),0,0.0,0,0.0,2001-10-09 16:19:16,2022-01-04 16:46:17,4101.596066427124,113.59625,0.009722222222222222,103251.64361111111,10386.766218879731,34625673.99277778,0,0,720,297,0,0,91,0,0,0,0,0,0,0,0,0,0,0,184,464,0,3455,0,0,0,0,3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,4828,516,199,2794,0,0,0,0,0,6482,0,0,0,1959,0,1,725,695,858,771,664,762,667,601,681,733,624
