Feature,Importance,Cumulative_Importance
issuetype.name_Suggestion,0.5315820812250179,0.5315820812250179
issue_count,0.1436280342006969,0.6752101154257149
issuetype.name_Bug,0.08802941339010352,0.7632395288158184
reporter_count,0.03586161732738948,0.7991011461432078
reporter.key,0.03429125105989603,0.8333923972031039
issuetype.name_Support Request,0.028289199752443598,0.8616815969555475
team_size_estimate,0.0267127720901738,0.8883943690457212
avg_resolution_hours,0.01714756795331174,0.905541936999033
resolution_hours_std,0.01451451904639377,0.9200564560454267
resolution_hours_per_team_member,0.013391318786827006,0.9334477748322537
median_resolution_hours,0.011400524929496456,0.9448482997617502
max_resolution_hours,0.0076234657441937755,0.952471765505944
issuetype.name_Sub-task,0.007142606619862448,0.9596143721258065
issuetype.name_Public Security Vulnerability,0.007139728242450742,0.9667541003682573
creator_count,0.0062621030761267,0.973016203444384
team_role_diversity,0.005097849890882923,0.9781140533352669
creator.key,0.0035198765400983457,0.9816339298753652
min_resolution_hours,0.002502047871364476,0.9841359777467297
issuetype.name_Task,0.00240386446621198,0.9865398422129417
issues_per_team_member,0.0023235405418256484,0.9888633827547673
status.name_In Progress,0.0015780924494564743,0.9904414752042238
issuetype.name_Improvement,0.0011433380317439734,0.9915848132359677
created_month_7.0,0.001079740821316512,0.9926645540572843
status.name_Resolved,0.0006286977290587181,0.993293251786343
issuetype.name_Epic,0.0006044707073181746,0.9938977224936612
issuetype.name_Test,0.0005986046430069954,0.9944963271366681
priority.name_Missing,0.00044702564629695235,0.9949433527829651
created_month_8.0,0.0004447012388917948,0.9953880540218569
status.name_Closed,0.00036251214932378294,0.9957505661711807
issuetype.name_Question,0.000344537594828727,0.9960951037660095
issuetype.name_Umbrella,0.00025346792013466183,0.9963485716861442
issuetype.name_Enhancement,0.00021733384981934245,0.9965659055359636
priority.name_Critical,0.0002033100442443579,0.9967692155802079
issuetype.name_New Feature,0.00020127257173610416,0.996970488151944
created_month_2.0,0.00019835703094142436,0.9971688451828854
created_month_11.0,0.00019719168913985243,0.9973660368720253
created_month_5.0,0.00017611314845738274,0.9975421500204826
created_month_4.0,0.00016728146509513916,0.9977094314855778
issuetype.name_Blog - New Blog Request,0.0001617717559742431,0.997871203241552
issuetype.name_Request,0.00016065818210139914,0.9980318614236534
issuetype.name_Wish,0.00014901675234216735,0.9981808781759955
created_month_10.0,0.00014706859068617265,0.9983279467666817
priority.name_Minor,0.00014452658151471997,0.9984724733481964
priority.name_Trivial,0.00013299643522588848,0.9986054697834224
created_month_6.0,0.00012574008263441624,0.9987312098660568
priority.name_Blocker,0.00010930205552990381,0.9988405119215867
issuetype.name_Temp,0.0001053827397510086,0.9989458946613378
created_month_1.0,9.95605447174294e-05,0.9990454552060551
issuetype.name_New JIRA Project,9.696216466386285e-05,0.999142417370719
issuetype.name_Component Upgrade,9.006587714707433e-05,0.9992324832478661
issuetype.name_Documentation,7.632138662526382e-05,0.9993088046344913
issuetype.name_Technical task,7.264649940624254e-05,0.9993814511338975
issuetype.name_Brainstorming,6.771689491690679e-05,0.9994491680288144
priority.name_Major,6.355246962610907e-05,0.9995127204984405
created_month_3.0,6.289089276285604e-05,0.9995756113912034
issuetype.name_Story,5.416789075266298e-05,0.9996297792819561
issuetype.name_Github Integration,5.384462380978815e-05,0.9996836239057658
issuetype.name_Feature Request,5.095418871867659e-05,0.9997345780944845
issuetype.name_Tracker,2.873140956260176e-05,0.9997633095040471
created_month_9.0,2.559139415726214e-05,0.9997889008982044
status.name_Reopened,2.5410642066614468e-05,0.999814311540271
issuetype.name_IT Help,1.86671357533374e-05,0.9998329786760244
issuetype.name_Technical Requirement,1.705213616922813e-05,0.9998500308121936
issuetype.name_Dependency upgrade,1.6807426387709767e-05,0.9998668382385812
issuetype.name_Technical Debt,1.4930770749769605e-05,0.999881769009331
issuetype.name_Support Patch,1.3622033177431062e-05,0.9998953910425085
issuetype.name_Release,1.1897631833992154e-05,0.9999072886743424
issuetype.name_Component Upgrade Subtask,1.060647855373855e-05,0.9999178951528962
issuetype.name_Patch,1.0352253808327416e-05,0.9999282474067045
issuetype.name_CTS Challenge,8.127779779655047e-06,0.9999363751864841
issuetype.name_Quality Risk,7.208213234120604e-06,0.9999435833997182
issuetype.name_OKR,6.564581637388512e-06,0.9999501479813556
issuetype.name_Initiative,6.019752081997663e-06,0.9999561677334377
issuetype.name_Clarification,5.501160662668929e-06,0.9999616688941003
issuetype.name_Tracking,5.219021456187385e-06,0.9999668879155565
priority.name_Normal,4.519546461089835e-06,0.9999714074620176
priority.name_Not a Priority,4.2500778126838704e-06,0.9999756575398303
issuetype.name_Build Failure,3.806183166705496e-06,0.9999794637229971
issuetype.name_Proposal,3.140548960941941e-06,0.999982604271958
status.name_Accepted,2.116143916531697e-06,0.9999847204158745
issuetype.name_Typo,1.6881433443573478e-06,0.9999864085592188
issuetype.name_Requirement,1.501620462932832e-06,0.9999879101796818
issuetype.name_Backport,1.1992100081813722e-06,0.99998910938969
issuetype.name_QE Task,1.1598300566979482e-06,0.9999902692197467
issuetype.name_Feedback,8.624004985913307e-07,0.9999911316202452
issuetype.name_Infrastructure,7.542259753681103e-07,0.9999918858462206
issuetype.name_QE Sub-task,7.449607691476506e-07,0.9999926308069897
status.name_Waiting for Infra,6.967531637478745e-07,0.9999933275601535
status.name_Patch Available,5.288423629573728e-07,0.9999938564025165
issuetype.name_SVN->GIT Migration,4.932051195186172e-07,0.999994349607636
status.name_Approved,4.55371056077765e-07,0.9999948049786921
issuetype.name_Project,4.330215984956534e-07,0.9999952380002906
issuetype.name_Test Task,4.2651398198610127e-07,0.9999956645142726
priority.name_P4,4.1642409198547803e-07,0.9999960809383646
issuetype.name_Library Upgrade,3.7810580086195656e-07,0.9999964590441655
issuetype.name_Payment Support,3.762019135154357e-07,0.999996835246079
issuetype.name_Workload,3.5381008695115147e-07,0.999997189056166
issuetype.name_Dev Task,3.4777787468333914e-07,0.9999975368340407
issuetype.name_Spec Change,2.6992582135432777e-07,0.999997806759862
priority.name_Urgent,2.3494730575082458e-07,0.9999980417071678
issuetype.name_Comment,2.167418834718202e-07,0.9999982584490512
status.name_Verified,1.556609340771549e-07,0.9999984141099852
issuetype.name_Success Metric,1.514687975892338e-07,0.9999985655787829
issuetype.name_Backport Sub-Task,1.434653787829744e-07,0.9999987090441617
priority.name_P0,1.3083741905003115e-07,0.9999988398815807
issuetype.name_Problem Ticket,1.2705667065756448e-07,0.9999989669382513
issuetype.name_Planned Work,1.2118695394168944e-07,0.9999990881252052
issuetype.name_Design Request,1.1144039729408433e-07,0.9999991995656025
status.name_Defining,1.0674969323194957e-07,0.9999993063152957
issuetype.name_Pricing Change,9.778277365680193e-08,0.9999994040980693
issuetype.name_Docs Task,6.940376381134092e-08,0.9999994735018332
issuetype.name_Investigation,5.445569811420702e-08,0.9999995279575312
issuetype.name_Blogs - New Blog User Account Request,5.4278711412617194e-08,0.9999995822362426
issuetype.name_Business Requirement,5.0347151675838145e-08,0.9999996325833943
issuetype.name_Plugin Release Request,4.784608384916137e-08,0.9999996804294782
priority.name_P2,4.306312041064402e-08,0.9999997234925986
issuetype.name_Docs Sub-task,3.701762800771501e-08,0.9999997605102265
issuetype.name_Doc UI,3.540207322647828e-08,0.9999997959122998
status.name_Open,2.8471125185667303e-08,0.999999824383425
priority.name_Low,2.182700575249215e-08,0.9999998462104308
issuetype.name_Third-party issue,2.055331608098674e-08,0.9999998667637469
issuetype.name_Outage,1.9223672102655856e-08,0.999999885987419
issuetype.name_Feature,1.8885464492454085e-08,0.9999999048728835
issuetype.name_New Git Repo,1.695194188938812e-08,0.9999999218248253
status.name_Done,1.465771966347929e-08,0.999999936482545
issuetype.name_A/B Test,1.2225489051950765e-08,0.9999999487080341
issuetype.name_Suitable Name Search,9.925465345063503e-09,0.9999999586334994
priority.name_P1,7.40940456196534e-09,0.999999966042904
issuetype.name_New Bugzilla Project,6.666398970836672e-09,0.999999972709303
issuetype.name_New TLP - Common Tasks,5.838296378362261e-09,0.9999999785475994
issuetype.name_Market Problem,4.31055341483172e-09,0.9999999828581528
issuetype.name_Pending Review,3.19684295334502e-09,0.9999999860549957
status.name_In Review,2.7696641179414497e-09,0.9999999888246599
issuetype.name_RFE,2.0406281650357493e-09,0.999999990865288
issuetype.name_Ask a question,1.584848577134473e-09,0.9999999924501366
issuetype.name_Dependency,1.1682154466413112e-09,0.999999993618352
issuetype.name_Risk,1.0151143571801624e-09,0.9999999946334663
issuetype.name_SVN->GIT Mirroring,7.47945556260526e-10,0.9999999953814119
issuetype.name_Issue,7.340493695933448e-10,0.9999999961154613
issuetype.name_Problem,7.023130006971749e-10,0.9999999968177743
status.name_Dropped,6.994826030642582e-10,0.9999999975172569
issuetype.name_Purchase,4.798355196972116e-10,0.9999999979970924
issuetype.name_GitBox Request,4.094933250623514e-10,0.9999999984065857
issuetype.name_New TLP,3.8922879810310936e-10,0.9999999987958145
issuetype.name_Simple Task,3.185027891060151e-10,0.9999999991143173
issuetype.name_New Confluence Wiki,3.003474624281582e-10,0.9999999994146647
issuetype.name_Spike,2.1482651044552843e-10,0.9999999996294912
issuetype.name_TCK Challenge,1.8363292484488054e-10,0.999999999813124
