Feature,Importance,Cumulative_Importance
issue_count,0.43303696689736754,0.43303696689736754
issuetype.name_Suggestion,0.3268440193020431,0.7598809861994107
issuetype.name_Bug,0.028629305145079158,0.7885102913444898
issuetype.name_Support Request,0.026301966082056497,0.8148122574265463
issuetype.name_Public Security Vulnerability,0.024843882439474795,0.8396561398660211
max_resolution_hours,0.02334469200611796,0.863000831872139
reporter_count,0.019785366155458436,0.8827861980275975
creator_count,0.01945918627266424,0.9022453843002618
avg_resolution_hours,0.018965528228041054,0.9212109125283029
reporter.key,0.018657809181344822,0.9398687217096477
team_size_estimate,0.011590284445279112,0.9514590061549268
resolution_hours_std,0.009460960502494785,0.9609199666574216
median_resolution_hours,0.00901598371120827,0.9699359503686299
issues_per_team_member,0.007432668805350547,0.9773686191739804
team_role_diversity,0.005441297145569124,0.9828099163195496
min_resolution_hours,0.004081982264220589,0.9868918985837702
issuetype.name_Sub-task,0.003233926223308707,0.990125824807079
resolution_hours_per_team_member,0.0016401763362329249,0.9917660011433119
issuetype.name_Task,0.0015047082623205062,0.9932707094056324
issuetype.name_Quality Risk,0.0013764614915069068,0.9946471708971394
creator.key,0.0011394012768515115,0.9957865721739909
issuetype.name_Feature Request,0.0010199317564098533,0.9968065039304008
issuetype.name_Component Upgrade,0.000741404360448792,0.9975479082908496
issuetype.name_Patch,0.0005335265451928133,0.9980814348360424
issuetype.name_Enhancement,0.0004783504062246518,0.9985597852422671
issuetype.name_Epic,0.00041973131967795534,0.9989795165619451
issuetype.name_Release,0.0003814666120746466,0.9993609831740197
issuetype.name_Component Upgrade Subtask,0.00018396395107348634,0.9995449471250931
issuetype.name_Improvement,0.00018332266315647407,0.9997282697882496
issuetype.name_New Feature,0.00012309416665838644,0.9998513639549079
status.name_In Progress,2.7463708997754913e-05,0.9998788276639057
issuetype.name_Story,2.4546832591560995e-05,0.9999033744964972
issuetype.name_Documentation,1.7640643360188383e-05,0.9999210151398574
issuetype.name_CTS Challenge,1.1229748048638666e-05,0.9999322448879061
issuetype.name_Support Patch,1.0949644748779422e-05,0.9999431945326549
issuetype.name_Feedback,8.590642305376977e-06,0.9999517851749603
issuetype.name_Question,8.126170137625757e-06,0.999959911345098
issuetype.name_Dev Task,5.48927631304642e-06,0.999965400621411
issuetype.name_Build Failure,5.194992555103262e-06,0.9999705956139662
issuetype.name_Success Metric,4.011771845431104e-06,0.9999746073858116
status.name_Verified,3.6843045334360617e-06,0.999978291690345
issuetype.name_Docs Task,3.1082828235160214e-06,0.9999813999731685
issuetype.name_Initiative,2.9133300447263734e-06,0.9999843133032132
issuetype.name_Typo,2.3076054940732865e-06,0.9999866209087073
issuetype.name_Doc UI,1.8704604303453971e-06,0.9999884913691376
issuetype.name_Library Upgrade,1.6747820899748034e-06,0.9999901661512276
issuetype.name_Technical Requirement,1.3150101725103576e-06,0.9999914811614001
issuetype.name_Backport Sub-Task,9.803013881987285e-07,0.9999924614627883
issuetype.name_Technical Debt,9.574330213734494e-07,0.9999934188958097
issuetype.name_Tracker,8.599162515292283e-07,0.9999942788120613
issuetype.name_QE Sub-task,8.587894981426687e-07,0.9999951376015594
status.name_Approved,6.610989227413926e-07,0.9999957987004822
issuetype.name_Clarification,6.421735555460552e-07,0.9999964408740377
issuetype.name_Test Task,5.203830013864487e-07,0.9999969612570391
issuetype.name_Requirement,4.433549804768267e-07,0.9999974046120196
status.name_Defining,3.507739605977905e-07,0.9999977553859801
issuetype.name_Analysis,3.058179432324996e-07,0.9999980612039233
issuetype.name_Design Request,2.7567597261880277e-07,0.9999983368798959
issuetype.name_Plugin Release Request,2.125076550454248e-07,0.999998549387551
issuetype.name_Risk,1.8357345363860024e-07,0.9999987329610046
issuetype.name_QE Task,1.7560723565148766e-07,0.9999989085682403
issuetype.name_Problem Ticket,1.4714106354245925e-07,0.9999990557093038
issuetype.name_Doc API,1.469643434706138e-07,0.9999992026736473
issuetype.name_Technical task,1.455434371836362e-07,0.9999993482170845
issuetype.name_Issue,1.1173176450701383e-07,0.999999459948849
issuetype.name_Business Requirement,9.892284051728268e-08,0.9999995588716895
issuetype.name_Feature,8.149106037340412e-08,0.9999996403627498
issuetype.name_Investigation,6.868136443819262e-08,0.9999997090441143
issuetype.name_Pricing Change,5.6669937241095594e-08,0.9999997657140515
issuetype.name_OKR,5.1494846351944416e-08,0.9999998172088979
issuetype.name_IT Help,3.8089275413668375e-08,0.9999998552981733
issuetype.name_Spec Change,3.57699337857358e-08,0.999999891068107
issuetype.name_Workload,3.0156085540104536e-08,0.9999999212241926
issuetype.name_A/B Test,2.0665053078100845e-08,0.9999999418892457
issuetype.name_Backport,1.947389162256756e-08,0.9999999613631373
issuetype.name_Dev Sub-task,1.0476972312738239e-08,0.9999999718401096
issuetype.name_Third-party issue,9.121970536686343e-09,0.9999999809620801
issuetype.name_Market Problem,7.3669483743388085e-09,0.9999999883290285
issuetype.name_Docs Sub-task,4.345761956844095e-09,0.9999999926747904
issuetype.name_Spike,3.3758992219128197e-09,0.9999999960506897
issuetype.name_RFE,1.0612682920473876e-09,0.999999997111958
issuetype.name_Tracking,9.31159804986371e-10,0.9999999980431178
issuetype.name_Problem,7.355130830127259e-10,0.9999999987786309
issuetype.name_Purchase,4.66721534717824e-10,0.9999999992453524
status.name_Dropped,4.1744344185234295e-10,0.9999999996627958
issuetype.name_Ask a question,2.464431096386083e-10,0.9999999999092389
issuetype.name_Infrastructure,9.021974933232603e-11,0.9999999999994587
status.name_To Do,5.416661196834546e-13,1.0000000000000002
status.name_In Review,0.0,1.0000000000000002
issuetype.name_Simple Task,0.0,1.0000000000000002
issuetype.name_Payment Support,0.0,1.0000000000000002
